-161|152
-159|162
-157|165
-157|167
-151|147
-151|162
-151|163
-150|155
-150|163
-150|166
-149|146
-149|151
-149|155
-149|164
-149|167
-149|168
-148|148
-148|150
-148|151
-148|154
-148|167
-148|168
-147|144
-147|147
-147|149
-147|156
-147|160
-147|168
-147|169
-147|170
-146|149
-146|154
-146|155
-146|156
-146|163
-146|164
-145|145
-145|146
-145|155
-145|161
-145|164
-145|169
-144|145
-144|146
-144|147
-144|150
-144|155
-144|160
-144|166
-144|167
-143|146
-143|147
-143|148
-143|149
-143|156
-143|158
-143|160
-143|167
-143|168
-142|148
-142|154
-142|160
-142|161
-142|163
-141|149
-141|152
-141|154
-141|155
-141|156
-141|162
-140|150
-140|153
-140|157
-140|158
-140|161
-139|152
-139|153
-139|154
-139|157
-139|162
